Lair of the Clockwork God$$%%1060600$$%%2,045$$%%246.0 k$$%%12.9 k$$%%21.9 k
Good Knight$$%%1281400$$%%613$$%%$$%%$$%%
Lumione$$%%1339860$$%%2,733$$%%9.5 k$$%%18.8 k$$%%14.8 k
Ender Lilies$$%%1369630$$%%100,446$$%%548.1 k$$%%700.5 k$$%%982.7 k
WATCH$$%%1228410$$%%391$$%%$$%%1.5 k$$%%1.7 k
Crown Trick$$%%1000010$$%%23,548$$%%974.7 k$$%%221.9 k$$%%153.0 k
Summer Catchers$$%%908050$$%%1,746$$%%184.6 k$$%%13.5 k$$%%11.9 k
Terracotta$$%%748020$$%%1,845$$%%49.7 k$$%%2.1 k$$%%3.2 k
Devil Slayer - Raksasi$$%%1016600$$%%15,165$$%%88.4 k$$%%79.2 k$$%%83.5 k
Doctor Who: The Lonely Assassins$$%%1508270$$%%1,575$$%%175.2 k$$%%12.7 k$$%%20.1 k
Doki Doki Literature Club$$%%698780$$%%153,807$$%%7.18 M$$%%6.06 M$$%%8.12 M
Unpacking$$%%1135690$$%%62,016$$%%1.14 M$$%%1.47 M$$%%916.1 k
ISLANDERS$$%%1046030$$%%48,287$$%%1.58 M$$%%853.7 k$$%%266.1 k
Road 96$$%%1466640$$%%54,242$$%%1.26 M$$%%496.7 k$$%%529.7 k
Eastern Exorcist$$%%1120810$$%%32,100$$%%144.4 k$$%%133.1 k$$%%192.2 k
Turnip Boy Commits Tax Evasion$$%%1205450$$%%15,456$$%%1.51 M$$%%261.7 k$$%%345.7 k
Bright Memory: Infinite$$%%1178830$$%%96,489$$%%$$%%$$%%
Let's Build a Zoo$$%%1547890$$%%21,108$$%%208.1 k$$%%187.1 k$$%%98.8 k
Cyber Shadow$$%%861250$$%%9,456$$%%83.1 k$$%%31.4 k$$%%40.2 k
OPUS: Echo of Starsong - Full Bloom Edition$$%%1504500$$%%27,337$$%%156.5 k$$%%121.7 k$$%%240.7 k
GRIME$$%%1123050$$%%25,936$$%%1.11 M$$%%109.5 k$$%%151.1 k
Tails of Iron$$%%1283410$$%%31,943$$%%347.1 k$$%%335.4 k$$%%289.0 k
Valheim$$%%892970$$%%481,505$$%%18.08 M$$%%11.28 M$$%%13.73 M
Library Of Ruina$$%%1256670$$%%65,577$$%%344.1 k$$%%506.7 k$$%%813.3 k
The Riftbreaker$$%%780310$$%%92,193$$%%387.6 k$$%%613.0 k$$%%490.6 k
Everhood$$%%1229380$$%%13,115$$%%1.53 M$$%%317.3 k$$%%363.3 k
Curse of the Dead Gods$$%%1123770$$%%58,454$$%%1.37 M$$%%433.9 k$$%%233.3 k
The Ascent$$%%979690$$%%95,627$$%%1.72 M$$%%722.0 k$$%%630.3 k
F.I.S.T.: Forged In Shadow Torch$$%%1330470$$%%34,940$$%%81.5 k$$%%135.5 k$$%%179.2 k
Skul: The Hero Slayer$$%%1147560$$%%110,911$$%%824.8 k$$%%1.69 M$$%%1.53 M
Shovel Knight Pocket Dungeon$$%%1184760$$%%3,887$$%%50.3 k$$%%21.7 k$$%%13.3 k
Record of Lodoss War-Deedlit in Wonder Labyrinth-$$%%1203630$$%%31,054$$%%306.4 k$$%%135.2 k$$%%183.8 k
Loop Hero$$%%1282730$$%%59,689$$%%2.71 M$$%%1.53 M$$%%1.28 M
Inscryption$$%%1092790$$%%112,772$$%%1.87 M$$%%2.35 M$$%%2.16 M
Death's Door$$%%894020$$%%61,833$$%%654.2 k$$%%525.7 k$$%%482.7 k
Wildermyth$$%%763890$$%%83,252$$%%734.3 k$$%%689.9 k$$%%499.4 k
Bonfire Peaks$$%%1147890$$%%1,551$$%%178.8 k$$%%5.7 k$$%%7.4 k
